variable,psi,status,type,missing_train,missing_holdout
MonthlyMinutes,0.0009370561646319959,stable,numeric,0.003056007209042647,0.003
total_sessions,0.0008596810180690473,stable,numeric,0.0,0.0
ServiceArea_woe,0.0008161990895043412,stable,numeric,0.0,0.0
night_session_ratio_30d,0.0006201306172172807,stable,numeric,0.0,0.0
avg_sessions_per_day,0.0006074209481650367,stable,numeric,0.0,0.0
home_cell_ratio,0.000582634715945168,stable,numeric,0.0,0.0
days_since_first_seen,0.000547776613106319,stable,numeric,0.0,0.0
id_doc_match_score,0.0005355870019980345,stable,numeric,0.0,0.0
MonthlyRevenue,0.0004776726724186454,stable,numeric,0.003056007209042647,0.003
phone_number_age_days,0.00042496382811267684,stable,numeric,0.0,0.0
active_days_90d,0.00039393964445709473,stable,numeric,0.0,0.0
observed_device_days,0.00039393964445709473,stable,numeric,0.0,0.0
distinct_ip_30d,0.00036082689691197716,stable,numeric,0.0,0.0
distinct_ip_count,0.00031712836233776967,stable,numeric,0.0,0.0
NonUSTravel,0.000270111028256331,stable,categorical,0.0,0.0
device_tier_mean,0.0002247831341917492,stable,numeric,0.0,0.0
iccid_count,0.0001253864515605917,stable,numeric,0.0,0.0
device_tier_min,0.00010433463890498023,stable,numeric,0.0,0.0
face_match_score,9.120415365286672e-05,stable,numeric,0.0,0.0
night_session_ratio,7.274814817406937e-05,stable,numeric,0.0,0.0
RoamingCalls,3.738119272323385e-05,stable,numeric,0.003056007209042647,0.003
days_since_last_sim_swap,2.6355064339033624e-05,stable,numeric,0.0,0.0
distinct_country_count,1.75475778155835e-05,stable,numeric,0.0,0.0
kyc_level_ord,3.067885221162141e-06,stable,numeric,0.0,0.0
geo_velocity_flag,0.0,stable,numeric,0.0,0.0
non_residential_ratio,0.0,stable,numeric,0.0,0.0
vpn_proxy_ratio,0.0,stable,numeric,0.0,0.0
datacenter_ratio,0.0,stable,numeric,0.0,0.0
port_in_flag,0.0,stable,numeric,0.0,0.0
is_rooted,0.0,stable,numeric,0.0,0.0
shared_imei_flag,0.0,stable,numeric,0.0,0.0
recent_sim_change_flag,0.0,stable,numeric,0.0,0.0
sim_swap_count_90d,0.0,stable,numeric,0.0,0.0
max_customers_per_imei,0.0,stable,numeric,0.0,0.0
num_imeis_90d,0.0,stable,numeric,0.0,0.0
NonUSTravel_woe,0.0,stable,numeric,0.0,0.0
rooted_session_ratio,0.0,stable,numeric,0.0,0.0
