model_name,Bin_Range,bin_count,mean_predicted_prob,mean_calibrated_prob,actual_fraud_rate
logistic_tuned,"(-0.002, 0.1]",26245,0.0412578733987999,0.002121104134830814,0.0022099447513812156
logistic_tuned,"(0.1, 0.2]",9150,0.14309742728526845,0.005825104228654161,0.0064480874316939895
logistic_tuned,"(0.2, 0.3]",4672,0.24568036979535052,0.010448390357368567,0.00898972602739726
logistic_tuned,"(0.3, 0.4]",2951,0.34674656193126796,0.01840801947459702,0.0193154862758387
logistic_tuned,"(0.4, 0.5]",1981,0.4471493985730852,0.023906400248907757,0.023725391216557295
logistic_tuned,"(0.5, 0.6]",1495,0.5479796035943268,0.032447308490128404,0.032107023411371234
logistic_tuned,"(0.6, 0.7]",1194,0.648271958591408,0.055753703103280136,0.05527638190954774
logistic_tuned,"(0.7, 0.8]",996,0.7489549250444821,0.10224240671346191,0.10341365461847389
logistic_tuned,"(0.8, 0.9]",856,0.8483748436865868,0.1687392793852022,0.16705607476635514
logistic_tuned,"(0.9, 1.0]",1507,0.971007324172985,0.6716546026798488,0.670205706702057
gbm_tuned,"(0.00506, 0.106]",30350,0.06035757909912994,0.0016211194005906024,0.0016474464579901153
gbm_tuned,"(0.106, 0.206]",10522,0.1458542152344735,0.005576121614879125,0.005797376924539061
gbm_tuned,"(0.206, 0.305]",3872,0.25018763352153717,0.012328957510017119,0.012396694214876033
gbm_tuned,"(0.305, 0.404]",2016,0.34944479246977933,0.02040967042864513,0.020337301587301588
gbm_tuned,"(0.404, 0.503]",1124,0.45060271096095333,0.051873731399650916,0.05516014234875445
gbm_tuned,"(0.503, 0.603]",743,0.5505085455601956,0.07115749525616698,0.063257065948856
gbm_tuned,"(0.603, 0.702]",534,0.6496703492572102,0.11896723281875574,0.1198501872659176
gbm_tuned,"(0.702, 0.801]",415,0.7527705197740187,0.21581653037018542,0.22409638554216868
gbm_tuned,"(0.801, 0.901]",377,0.8539964352293163,0.42877298088356347,0.4217506631299735
gbm_tuned,"(0.901, 1.0]",1094,0.9781657813590089,0.9235169892201979,0.9213893967093236
lgbm_tuned,"(0.00076, 0.102]",35320,0.04847993712185199,0.0021834696050272258,0.002491506228765572
lgbm_tuned,"(0.102, 0.202]",7969,0.14170481094465034,0.006780737571374394,0.005772367925712134
lgbm_tuned,"(0.202, 0.302]",2866,0.2453230099955375,0.017276910532027165,0.017445917655268667
lgbm_tuned,"(0.302, 0.402]",1423,0.3481153732828274,0.03426738757801612,0.03302881236823612
lgbm_tuned,"(0.402, 0.501]",799,0.4489344587263357,0.04826428557275427,0.04881101376720901
lgbm_tuned,"(0.501, 0.601]",526,0.5461468787466361,0.10520191425199947,0.10646387832699619
lgbm_tuned,"(0.601, 0.701]",418,0.6491322889660405,0.15543593833067515,0.15311004784688995
lgbm_tuned,"(0.701, 0.8]",335,0.7468365201944046,0.24386401326699833,0.24477611940298508
lgbm_tuned,"(0.8, 0.9]",279,0.8532422304931717,0.46053534660260814,0.45878136200716846
lgbm_tuned,"(0.9, 1.0]",1112,0.9807768440011846,0.930315322210317,0.9289568345323741
xgb_tuned,"(-0.0010102, 0.101]",43160,0.02827526505359121,0.0031100553458304646,0.003151065801668211
xgb_tuned,"(0.101, 0.201]",3712,0.1402257343127938,0.018078835024941134,0.017780172413793104
xgb_tuned,"(0.201, 0.301]",1290,0.2430957360554111,0.045294728657246965,0.046511627906976744
xgb_tuned,"(0.301, 0.401]",627,0.3459739375627782,0.08180712112335153,0.08133971291866028
xgb_tuned,"(0.401, 0.5]",388,0.4471221005486459,0.11954266802481989,0.11855670103092783
xgb_tuned,"(0.5, 0.6]",286,0.5448408764559072,0.20992553015024926,0.2202797202797203
xgb_tuned,"(0.6, 0.7]",202,0.6481722218565421,0.2653749644627384,0.24752475247524752
xgb_tuned,"(0.7, 0.8]",186,0.7454807649376571,0.4283776042945287,0.44086021505376344
xgb_tuned,"(0.8, 0.9]",188,0.8533703418488198,0.5863450888953657,0.5691489361702128
xgb_tuned,"(0.9, 1.0]",1008,0.9809234724158332,0.9642857142857143,0.9642857142857143
stacking_tuned,"(0.0492, 0.146]",37892,0.08203341443920406,0.002260222724179963,0.0022696083606038213
stacking_tuned,"(0.146, 0.24]",5106,0.18447993824041167,0.008035538636479067,0.008617312965139052
stacking_tuned,"(0.24, 0.335]",2087,0.28293340395348077,0.011844407538130987,0.011020603737422138
stacking_tuned,"(0.335, 0.43]",1137,0.38124352314506255,0.02156769481772494,0.02198768689533861
stacking_tuned,"(0.43, 0.524]",794,0.47355376352967765,0.029261465980348025,0.031486146095717885
stacking_tuned,"(0.524, 0.619]",610,0.5711561729619131,0.03948339554503812,0.03442622950819672
stacking_tuned,"(0.619, 0.713]",511,0.6651056493664256,0.04964539007092199,0.04892367906066536
stacking_tuned,"(0.713, 0.808]",466,0.7607672166472734,0.07194522202874457,0.07296137339055794
stacking_tuned,"(0.808, 0.903]",477,0.8564412430751416,0.1153639085786468,0.12159329140461216
stacking_tuned,"(0.903, 0.997]",1967,0.978630208648392,0.6587911058785755,0.6568378240976106
