rank,score_model_name,explaining_model_name,feature,mean_abs_shap,mean_shap
1,stacking_tuned,lgbm_tuned,distinct_ip_count,0.38845143833752716,-0.015027698335852059
2,stacking_tuned,lgbm_tuned,ServiceArea_woe,0.25864173859592526,-0.0025585951456469757
3,stacking_tuned,lgbm_tuned,id_doc_match_score,0.2408044188814702,-0.04215477320791959
4,stacking_tuned,lgbm_tuned,home_cell_ratio,0.14669518792993214,-0.0018977748244007572
5,stacking_tuned,lgbm_tuned,distinct_country_count,0.13674935388156587,-0.07376142466951531
6,stacking_tuned,lgbm_tuned,days_since_last_sim_swap,0.13599470905807298,0.008467322951282934
7,stacking_tuned,lgbm_tuned,face_match_score,0.13172982385861945,-0.011056945521309761
8,stacking_tuned,lgbm_tuned,max_customers_per_imei,0.12187528621919423,-0.002687279742608672
9,stacking_tuned,lgbm_tuned,night_session_ratio,0.11799360811720871,0.004446155512463831
10,stacking_tuned,lgbm_tuned,observed_device_days,0.09220792771981239,0.0039610337676345
11,stacking_tuned,lgbm_tuned,num_imeis_90d,0.08609088618381695,0.0020468625768731282
12,stacking_tuned,lgbm_tuned,NonUSTravel_woe,0.07979923447974958,0.05326471169149561
13,stacking_tuned,lgbm_tuned,RoamingCalls,0.0796551732059908,0.02640888933544543
14,stacking_tuned,lgbm_tuned,port_in_flag,0.07647223704465322,0.0009704510683378455
15,stacking_tuned,lgbm_tuned,total_sessions,0.07527005570641225,0.005523976862764694
16,stacking_tuned,lgbm_tuned,kyc_level_ord,0.07128216140714598,0.04289278363727526
17,stacking_tuned,lgbm_tuned,night_session_ratio_30d,0.07028256232452637,-0.0019056468141607976
18,stacking_tuned,lgbm_tuned,days_since_first_seen,0.06492413846362878,-0.0026550246416773165
19,stacking_tuned,lgbm_tuned,MonthlyRevenue,0.06069569871037659,-0.007115278559615112
20,stacking_tuned,lgbm_tuned,distinct_ip_30d,0.05005381421766555,0.0005517138629017275
21,stacking_tuned,lgbm_tuned,PeakCallsInOut,0.0490473972106745,-0.005522348361899603
22,stacking_tuned,lgbm_tuned,num_accounts_linked_to_device,0.048423182235710426,-0.00035195379077727256
23,stacking_tuned,lgbm_tuned,tac_risk_score,0.042353435491338874,-0.0011268966357705877
24,stacking_tuned,lgbm_tuned,TruckOwner_woe,0.039589479809362914,0.002062760858543304
25,stacking_tuned,lgbm_tuned,total_sessions_7d,0.03925148239927846,0.0023108330009309038
26,stacking_tuned,lgbm_tuned,active_days_90d,0.038222950690746486,0.0007820441914680698
27,stacking_tuned,lgbm_tuned,non_residential_ratio,0.03809966677416772,0.0041896807651159605
28,stacking_tuned,lgbm_tuned,DirectorAssistedCalls,0.03761851908500056,0.0006610127062904891
29,stacking_tuned,lgbm_tuned,CreditRating_woe,0.03722506151281632,0.0005221065216706568
30,stacking_tuned,lgbm_tuned,IncomeGroup,0.03641254849246072,0.0007854247146845351
