dataset,target,iso_weight,lof_weight,auc,pr_auc,recall_at_4pct,recall_at_5pct,sim_swap_ato_count,evaluated_rows
train,sim_swap_ato,0.5,0.5,0.8327540576127328,0.05548389457459702,0.3186372745490982,0.3627254509018036,499,51047
train,sim_swap_ato,0.65,0.35,0.8173838973349088,0.053784825656896386,0.31462925851703405,0.35671342685370744,499,51047
train,sim_swap_ato,0.55,0.45,0.8285825627673802,0.05510422531681391,0.312625250501002,0.3587174348697395,499,51047
train,sim_swap_ato,0.6,0.4,0.823435765255287,0.05452279872385737,0.312625250501002,0.36072144288577157,499,51047
train,sim_swap_ato,0.45,0.55,0.835855873335656,0.05567270266960347,0.3066132264529058,0.37074148296593185,499,51047
train,sim_swap_ato,0.4,0.6,0.8379105286619769,0.05563134998304276,0.3066132264529058,0.3627254509018036,499,51047
train,sim_swap_ato,0.35,0.65,0.8390572392708183,0.055368669560223675,0.3046092184368738,0.3527054108216433,499,51047
train,sim_swap_ato,0.7,0.3,0.8106952410796111,0.05283533560704082,0.3026052104208417,0.36072144288577157,499,51047
train,sim_swap_ato,0.3,0.7,0.8393752766274815,0.05487054435270833,0.2965931863727455,0.35671342685370744,499,51047
train,sim_swap_ato,0.75,0.25,0.8033548104359387,0.05154206987439041,0.2925851703406814,0.35070140280561124,499,51047
train,sim_swap_ato,0.25,0.75,0.8388159757038807,0.05404195683190541,0.2905811623246493,0.35070140280561124,499,51047
train,sim_swap_ato,0.15,0.85,0.8351451260517395,0.05108926019692663,0.28256513026052105,0.3346693386773547,499,51047
train,sim_swap_ato,0.8,0.2,0.7955050522030054,0.04994010435652116,0.280561122244489,0.32665330661322645,499,51047
train,sim_swap_ato,0.2,0.8,0.8374252858014835,0.05288107709523558,0.2785571142284569,0.3466933867735471,499,51047
train,sim_swap_ato,0.1,0.9,0.8320059443092881,0.0487037161645442,0.2785571142284569,0.3246492985971944,499,51047
train,sim_swap_ato,0.85,0.15,0.7871044573914784,0.04789453829457323,0.2625250501002004,0.312625250501002,499,51047
train,sim_swap_ato,0.05,0.95,0.8278191264225055,0.04513012259703155,0.25250501002004005,0.2965931863727455,499,51047
train,sim_swap_ato,0.9,0.1,0.7780982357212645,0.04527789275360017,0.24849699398797595,0.2845691382765531,499,51047
train,sim_swap_ato,0.95,0.05,0.7683004689445362,0.04131621691032048,0.22845691382765532,0.250501002004008,499,51047
train,sim_swap_ato,0.0,1.0,0.8225341241952132,0.03994048530134055,0.22444889779559118,0.27655310621242485,499,51047
train,sim_swap_ato,1.0,0.0,0.7576777357833495,0.03276656387459159,0.1903807615230461,0.23847695390781562,499,51047
